contrast,parcel,t_stat,p_value,native_mean,native_sd,native_se,native_ci_lower,native_ci_upper,l2_mean,l2_sd,l2_se,l2_ci_lower,l2_ci_upper,n_native,n_l2,p_fdr,significant_fdr
fake_vs_rest,122,-1.3879212482447338,0.1784501192403432,-0.07789227529238758,0.9921395353482331,0.2561693265011781,-0.6273208366249838,0.47153628604020864,0.3374991489971772,0.599399507554378,0.15476428736553552,0.005562765690491023,0.6694355323038634,15,15,0.5088026551818314,False
fake_vs_rest,147,-1.3768832915129599,0.1799417495201548,-1.5370821022316044,1.5247237583392257,0.39368198157430684,-2.38144597558528,-0.6927182288779289,-0.8406262382177025,1.230054427722621,0.3175986875665604,-1.521807675410627,-0.1594448010247781,15,15,0.5088026551818314,False
fake_vs_rest,102,1.3730040857053292,0.18323170380771492,1.0933976132232646,1.5327688602328828,0.39575921795115193,0.24457851094087313,1.942216715505656,0.46380066938653125,0.8970509887044071,0.23161756933007108,-0.032969610000484206,0.9605709487735468,15,15,0.5088026551818314,False
fake_vs_rest,94,1.363252936926117,0.1837342921489947,0.7514329387368885,1.1230061678194663,0.2899589457102003,0.12953285193496966,1.3733330255388074,0.21354827622366696,1.036348125186658,0.26758393531474706,-0.36036218614006127,0.7874587385873952,15,15,0.5088026551818314,False
fake_vs_rest,162,-1.304952008586931,0.20265957519075464,-0.7101198476486091,1.6600413565166867,0.4286208351869798,-1.6294201091218543,0.20918041382463615,0.04070256179509351,1.4865795330957778,0.383833184966183,-0.782537743701468,0.8639428672916549,15,15,0.5491172900734531,False
fake_vs_rest,157,-1.3050298771909266,0.20439365797178533,-0.6102269306469634,1.1189052010221325,0.28890008063623873,-1.2298559777339484,0.009402116440021535,0.09224814176641534,1.7590554144946686,0.45418615502625576,-0.8818842773704699,1.0663805609033006,15,15,0.5491172900734531,False
fake_vs_rest,8,1.2844070614580465,0.2108005110319531,0.8953073664691072,1.3389093437669173,0.34570490603271814,0.15384408606225808,1.6367706468759564,0.3548534652921778,0.9290692574457827,0.2398846507707205,-0.1596479403166749,0.8693548709010306,15,15,0.5580013527316405,False
fake_vs_rest,43,1.2681055852386636,0.2169992636872946,-0.2511110425580759,1.2118436826703962,0.31289669341260734,-0.9222077052829346,0.41998562016678276,-0.7225001974813359,0.777270829657836,0.20069046525050804,-1.1529384357426562,-0.2920619592200156,15,15,0.5660850357059859,False
fake_vs_rest,164,1.2459932203265698,0.2231423627889347,0.9879136476313359,1.1626063696526705,0.3001836738572971,0.34408370001194544,1.6317435952507264,0.4766152608456134,1.0836066386532142,0.2797860310229131,-0.12346609395768832,1.076696615648915,15,15,0.5683382941080521,False
fake_vs_rest,53,1.2464223953893037,0.22442775542745283,0.8623201797462811,1.3311744101000058,0.34370775474765364,0.12514036282939622,1.599499996663166,0.34697393528371745,0.89006553195458,0.22981393215288892,-0.14592792709584407,0.8398757976632789,15,15,0.5683382941080521,False
