contrast,parcel,group1,group2,meandiff,p-adj,lower,upper,reject
real_vs_fake_in_positive,145,L2_High,L2_Low,0.0631,0.9916,-1.2,1.3262,False
real_vs_fake_in_positive,145,L2_High,Native,-1.5385,0.0038,-2.607,-0.4701,True
real_vs_fake_in_positive,145,L2_Low,Native,-1.6016,0.0039,-2.7187,-0.4845,True
real_vs_fake_in_negative,12,L2_High,L2_Low,-0.2283,0.8932,-1.4758,1.0193,False
real_vs_fake_in_negative,12,L2_High,Native,-1.8893,0.0004,-2.9447,-0.834,True
real_vs_fake_in_negative,12,L2_Low,Native,-1.661,0.0025,-2.7644,-0.5577,True
real_vs_fake_in_negative,79,L2_High,L2_Low,0.2531,0.9202,-1.3599,1.866,False
real_vs_fake_in_negative,79,L2_High,Native,-2.1425,0.0016,-3.5069,-0.7781,True
real_vs_fake_in_negative,79,L2_Low,Native,-2.3955,0.0008,-3.8221,-0.969,True
real_vs_fake_in_negative,81,L2_High,L2_Low,0.7527,0.5251,-0.9511,2.4565,False
real_vs_fake_in_negative,81,L2_High,Native,-1.8214,0.0111,-3.2627,-0.3802,True
real_vs_fake_in_negative,81,L2_Low,Native,-2.5742,0.0007,-4.0811,-1.0673,True
real_vs_fake_in_negative,125,L2_High,L2_Low,0.1268,0.9687,-1.1823,1.4359,False
real_vs_fake_in_negative,125,L2_High,Native,-1.5859,0.004,-2.6933,-0.4785,True
real_vs_fake_in_negative,125,L2_Low,Native,-1.7127,0.0029,-2.8705,-0.5549,True
real_vs_fake_in_negative,107,L2_High,L2_Low,-0.7451,0.2791,-1.9279,0.4377,False
real_vs_fake_in_negative,107,L2_High,Native,-1.6519,0.001,-2.6525,-0.6514,True
real_vs_fake_in_negative,107,L2_Low,Native,-0.9068,0.0987,-1.9529,0.1393,False
real_vs_fake_in_negative,175,L2_High,L2_Low,-0.1463,0.9401,-1.2291,0.9364,False
real_vs_fake_in_negative,175,L2_High,Native,-1.3355,0.0034,-2.2514,-0.4196,True
real_vs_fake_in_negative,175,L2_Low,Native,-1.1891,0.0127,-2.1467,-0.2315,True
real_vs_rest_in_positive,83,L2_High,L2_Low,0.2619,0.7902,-0.7269,1.2507,False
real_vs_rest_in_positive,83,L2_High,Native,-1.3584,0.0012,-2.1948,-0.522,True
real_vs_rest_in_positive,83,L2_Low,Native,-1.6203,0.0003,-2.4948,-0.7458,True
real_vs_rest_in_positive,178,L2_High,L2_Low,-0.9728,0.0284,-1.8547,-0.0909,True
real_vs_rest_in_positive,178,L2_High,Native,-1.5086,0.0001,-2.2546,-0.7626,True
real_vs_rest_in_positive,178,L2_Low,Native,-0.5358,0.2224,-1.3158,0.2442,False
real_vs_rest_in_positive,113,L2_High,L2_Low,-2.0604,0.0002,-3.1637,-0.9571,True
real_vs_rest_in_positive,113,L2_High,Native,-1.1729,0.0116,-2.1062,-0.2396,True
real_vs_rest_in_positive,113,L2_Low,Native,0.8874,0.08,-0.0884,1.8632,False
real_vs_rest_in_positive,107,L2_High,L2_Low,-1.484,0.0294,-2.8371,-0.1308,True
real_vs_rest_in_positive,107,L2_High,Native,-2.061,0.0004,-3.2056,-0.9164,True
real_vs_rest_in_positive,107,L2_Low,Native,-0.577,0.466,-1.7738,0.6197,False
real_vs_rest_in_positive,79,L2_High,L2_Low,-0.1135,0.9752,-1.4309,1.204,False
real_vs_rest_in_positive,79,L2_High,Native,-1.7223,0.0019,-2.8367,-0.6079,True
real_vs_rest_in_positive,79,L2_Low,Native,-1.6089,0.0055,-2.774,-0.4437,True
