contrast,parcel,f_stat,p_value,native_mean,native_sd,native_se,native_ci_lower,native_ci_upper,l2_high_mean,l2_high_sd,l2_high_se,l2_high_ci_lower,l2_high_ci_upper,l2_low_mean,l2_low_sd,l2_low_se,l2_low_ci_lower,l2_low_ci_upper,n_native,n_l2_high,n_l2_low,p_fdr,significant_fdr
real_vs_rest,95,6.39729989595911,0.0053184478713059185,-2.7607886239716968,1.3053667415916188,0.3370442433918253,-3.483676630437812,-2.0379006175055814,-1.0918317456005115,1.1190181684022946,0.39563266757410626,-2.027354346068589,-0.15630914513243388,-1.0349373242611242,1.4664534319503557,0.5542672985996888,-2.391180545906815,0.32130589738456705,15,8,7,0.08489890629550118,False
real_vs_rest,150,6.305792513839499,0.005659927086366745,0.5193295198473288,0.961527504065847,0.24826533401116063,-0.0131466636112757,1.0518057033059334,-1.1204523579145231,0.572284052107577,0.2023329670050916,-1.5988937985914853,-0.642010917237561,-0.8414888236679009,1.9138657767851899,0.7233732697330095,-2.6115194501790953,0.9285418028432934,15,8,7,0.08489890629550118,False
real_vs_rest,178,5.6358177610865745,0.009006810365987135,0.6386651978339525,1.0325900158060117,0.2666135956451158,0.06683590707640796,1.210494488591497,1.9909769822871637,0.7530346255475862,0.26623794509648535,1.3614242806177863,2.620529683956541,0.9112748397485638,0.862272044763776,0.32590819898972934,0.11380620525527918,1.7087434742418486,15,8,7,0.12470968199059111,False
real_vs_rest,107,5.477275927430858,0.010077402373307258,3.9980326397150687,1.1172692793874455,0.2884776874864492,3.37930953583282,4.616755743597317,5.685803777710501,1.4280380590261652,0.5048876976649382,4.4919340834811425,6.87967347193986,3.919801707808636,1.3375595256571682,0.5055499812334835,2.6827654673823034,5.156837948234968,15,8,7,0.12956660194252187,False
real_vs_rest,63,5.349475314192715,0.011039916416136808,-0.8952171193197098,0.8685045796102532,0.22424691819569229,-1.3761789242724234,-0.41425531436699625,0.416490129679752,1.0887337184633556,0.3849254976159421,-0.493714037039325,1.326694296398829,0.37189359194953076,1.4549606644455881,0.5499234407863318,-0.9737205925329684,1.71750777643203,15,8,7,0.1324789969936417,False
real_vs_rest,111,5.18489976919875,0.01242740482133084,-1.5144771808546573,0.9457022576952674,0.2441792729683017,-2.0381896349825186,-0.9907647267267962,-0.09331629470471425,1.4738531298987774,0.5210857713122214,-1.3254883467095246,1.138855757300096,0.025000117071553567,1.5797677226207858,0.5970960747573524,-1.43604134452436,1.486041578667467,15,8,7,0.13980830423997195,False
real_vs_rest,73,5.043985393784155,0.013764623644249827,-0.5159362636495956,0.8558219932489718,0.22097228847808692,-0.9898746863761291,-0.041997840923062024,-0.1510699637715026,0.9638561250098344,0.3407746010413213,-0.9568738497206665,0.6547339221776612,0.9031460725414541,1.230511033715791,0.46508945439042837,-0.23488682524903715,2.0411789703319454,15,8,7,0.14574307388029228,False
real_vs_rest,66,4.766835433560832,0.016867515025930344,0.21489024526869402,0.5443536930936598,0.14055151918654984,-0.08656278204924187,0.5163432725866299,0.7830188838074814,0.7380745945508721,0.2609487754142166,0.16597308103958597,1.400064686575377,-0.2031706940137509,0.6542912499708862,0.24729884748979453,-0.8082891747110237,0.40194778668352193,15,8,7,0.16867515025930344,False
real_vs_rest,74,4.448337609780818,0.021388423215065244,-0.8738011929365462,0.8652067243925393,0.22339541563993168,-1.3529367065429365,-0.394665679330156,0.6213326684415487,1.3303738725809313,0.4703581934076922,-0.4908877226256495,1.733553059508747,0.40640554874486107,1.9121337571459813,0.7227186278428345,-1.3620232267670078,2.17483432425673,15,8,7,0.2026271673006181,False
real_vs_rest,109,4.290315157029451,0.02410053655645249,-1.649973429573025,1.2304786840508162,0.3177082300794686,-2.3313898120893963,-0.968557047056654,-0.2530313117756985,1.0724800024713854,0.37917894121724094,-1.149647031871261,0.6435844083198641,-1.1368363258489518,0.6832728025250197,0.2582528447279068,-1.768758272205571,-0.5049143794923325,15,8,7,0.2084118521253474,False
real_vs_rest,85,4.278659516536332,0.02431471608129053,-0.7009962582709295,0.7770220670377946,0.20062623501820276,-1.1312967363850395,-0.27069578015681944,0.3553410212926788,0.8456630431943687,0.29898703622079514,-0.35165097546686347,1.062333018052221,0.23700525701751168,1.3180127417290557,0.49816199134706923,-0.9819532233996144,1.4559637374346377,15,8,7,0.2084118521253474,False
real_vs_rest,78,4.178160684879563,0.026248551003104345,-1.691839247100303,1.238709867976685,0.3198335126304326,-2.3778139073400455,-1.0058645868605605,-0.16160722393393717,1.3291031106622921,0.4699089112227205,-1.2727652314507427,0.9495507835828683,-1.4898298226777524,1.1194056076112235,0.4230955505643499,-2.5251073395203694,-0.4545523058351353,15,8,7,0.21265485146382607,False
real_vs_rest,97,4.13291412742214,0.027172564353711105,-0.982546693680155,0.6247240075964401,0.16130304515979788,-1.328507317659494,-0.6365860697008161,-0.3317496702798407,1.1539578779656188,0.4079857203565637,-1.296482598938523,0.6329832583788416,-0.0339608618873176,0.5126000717401629,0.19374461597976272,-0.5080368588237318,0.4401151350490966,15,8,7,0.21265485146382607,False
real_vs_rest,64,3.9608197754698042,0.031019398591470355,0.005973154317755735,1.1141577856140887,0.2876743032487133,-0.611026861746114,0.6229731703816254,-0.9932607967080711,1.6915193877330472,0.5980424147872773,-2.4074063941951778,0.4208848007790358,-1.619477966719902,1.3050242493568707,0.49325280267243193,-2.826424095189551,-0.41253183825025275,15,8,7,0.23264548943602767,False
real_vs_rest,132,3.7102155643116377,0.03770428320689755,0.9080719523446306,1.1892068530942885,0.3070518891486606,0.2495111479985701,1.566632756690691,-0.1847326401720911,0.6953387228375311,0.24583936307000573,-0.7660503600835501,0.39658507973936785,-0.18332838898933282,1.2494826332145763,0.47226004499712887,-1.3389070899150683,0.9722503119364027,15,8,7,0.27147083908966235,False
real_vs_rest,69,3.607884552603947,0.04086539279458609,0.6044732237559796,1.1552958068054546,0.29829609464671913,-0.03530826910017293,1.244254716612132,-0.5238201635538431,1.3413747450571132,0.4742475891711305,-1.6452375141673097,0.5975971870596235,-0.6902675444781099,1.2858593525580462,0.486009152553588,-1.8794890996264122,0.4989540106701924,15,8,7,0.27341351241956396,False
real_vs_rest,134,3.6033461175274772,0.04101202686293459,-0.04142487857404024,0.5220415459244875,0.1347905475595943,-0.33052185063700973,0.24767209348892924,-0.4193473168152431,0.40987997900137324,0.14491445631223535,-0.7620155546175378,-0.0766790790129484,-0.6750071223595487,0.6916086333733202,0.2614034926415788,-1.3146384264349171,-0.03537581828418035,15,8,7,0.27341351241956396,False
real_vs_rest,99,3.4973371361804246,0.04460298033763168,1.4769269413067672,1.1024837898089428,0.2846600904929116,0.866391768636093,2.087462113977441,1.9550225536376062,0.6378052802714725,0.22549821937827236,1.4218039954047534,2.488241111870459,0.5731731156367749,1.1873534645869892,0.4487774265183015,-0.5249456878372017,1.6712919191107516,15,8,7,0.2867334450276322,False
real_vs_rest,175,3.3976826724263054,0.048288014507543046,5.961512003809844,0.752290904065192,0.19424067619652066,5.544907187251393,6.3781168203682945,6.750676175937018,1.7039813172257852,0.6024483722127691,5.326112144670108,8.175240207203927,7.218607070053486,0.9354344887670868,0.3535610035815078,6.353474460287183,8.08373967981979,15,8,7,0.29971871073647405,False
real_vs_rest,43,3.3292516151406524,0.0510071461656205,-1.5152381575298,1.1277577934188796,0.291185810164463,-2.139769606881101,-0.890706708178499,-0.21429042565291576,1.1656590672109757,0.4121227154882332,-1.188805793328665,0.7602249420228335,-0.7276985182397764,1.3498172320824857,0.5101829587828305,-1.9760712463376944,0.5206742098581416,15,8,7,0.306042876993723,False
real_vs_rest,57,3.255826469081654,0.05410866839984249,-0.932187887576018,1.2019159577290752,0.31033336585504306,-1.59778675947864,-0.2665890156733961,-0.6242818746611216,0.7178455898395988,0.25379674221021864,-1.2244158062666466,-0.024147943055596643,-1.9252374282576807,0.9266492238792938,0.3502404855679467,-2.7822450231446614,-1.0682298333707,15,8,7,0.3129511373416141,False
real_vs_rest,171,3.2213180952300844,0.05563575774962029,-0.13875964925346834,0.9930472574758137,0.25640369934671836,-0.6886908903451887,0.4111715918382521,0.7352681514678768,0.8011165794740164,0.28323748293352435,0.06551793036316789,1.4050183725725858,0.7728114136801129,1.0572684645633852,0.3996099180379747,-0.2049988306020809,1.7506216579623066,15,8,7,0.3129511373416141,False
real_vs_rest,169,3.1823866774480765,0.05741434291617459,-1.3121325026965167,1.01600423010874,0.26233116419249586,-1.8747768914825615,-0.7494881139104719,0.13330891176212123,1.6616140011335923,0.5874692639580373,-1.2558351568584163,1.522452980382659,0.020947053105018782,2.1663665911372747,0.8188096069639961,-1.9826078780065453,2.024501984216583,15,8,7,0.31316914317913414,False
real_vs_rest,127,3.0707895564402805,0.06285974983815683,-0.42040636209214904,1.2542919596318705,0.32385679139574,-1.1150100970695054,0.27419737288520724,-0.7417799857655457,0.9061176424569354,0.32036096476703324,-1.4993132923173338,0.015753320786242475,-1.6704676644382295,0.9278530775263782,0.3506954994772472,-2.5285886382523133,-0.8123466906241457,15,8,7,0.3249686877485937,False
real_vs_rest,37,3.064390795820334,0.06318835595111545,-0.052396845463264945,1.5151628954363068,0.39121337738774836,-0.8914660894198716,0.7866723984933417,-0.6075904241854759,0.9696822591772941,0.34283445053027795,-1.4182650801908578,0.20308423181990587,-1.5947237470564264,1.3784857472374104,0.5210186390053186,-2.869610429505968,-0.3198370646068849,15,8,7,0.3249686877485937,False
